cafe_name,location_name,full_address,main_food,like,image
테일러커피,홍대,서울특별시 마포구 서교동 338-1 2층,"크림모카, 아이스아메리카노, 카페",13,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200531020807994_photo_febb7f765559.jpg
패션파이브,이태원,서울특별시 용산구 한남동 729-74,"푸딩, 에끌레어, 카페",789,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210411053244312_photo_VEafuBttIPoZ.jpg
더베이커스테이블,이태원,서울특별시 용산구 이태원동 691,"파니니, 토마토스프, 브런치카페",470,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210327105536_photo3_a5c588dcba33.jpg
울프소셜클럽,이태원,서울특별시 용산구 한남동 795-2,"밀크티, 애플파이, 카페",46,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210208074625253_photo_ae9ee822d767.jpg
키에리,이태원,서울특별시 용산구 이태원동 73-7,"치즈케이크, 케이크, 카페",139,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210330081712524_photo_37610b21c74e.jpg
피피서울,이태원,서울특별시 용산구 이태원동 258-199 2층,"칵테일, 카페",171,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200701013216_photo1_b2943ef9b91e.jpg
원인어밀리언,이태원,서울특별시 용산구 한남동 684-62,"아인슈페너, 카페, 디저트카페",213,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210301112431_photo1_b2a615e0bd84.jpg
챔프커피,이태원,서울특별시 용산구 이태원동 79-44,"라떼, 카페, 카페라떼",59,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210408105729_photo2_bafb58e4aa35.jpg
올드페리도넛,이태원,서울특별시 용산구 한남동 727-21,"크림브륄레, 애플시나몬, 카페",49,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210414124029_photo1_219e611e4c2e.jpg
수르기,이태원,서울특별시 용산구 한남동 683-65,"디저트, 카페, 디저트카페",305,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200604173351_photo1_0UoOZNlTenDO.jpg
앤드커피랩 한남점,이태원,서울특별시 용산구 한남동 684-51,"몽블랑, 아메리카노, 카페",192,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200308121440_photo1_0bd291ff398f.jpg
오랑오랑,이태원,서울특별시 용산구 용산동2가 1-62,"아메리카노, 티라미수, 카페",88,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210420090206_photo1_e30365e0d307.jpg
헬카페,이태원,서울시 용산구 보광동 238-43,"카푸치노, 티라미수, 카페",101,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200927054335_photo1_v7ueN3fIzBzB.jpg
MTL,이태원,서울특별시 용산구 한남동 743-8,"아이스아메리카노, 카페",40,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210411071801102_photo_06ea7b426a63.jpg
맥심플랜트,이태원,서울특별시 용산구 한남동 683-140,"아메리카노, 카페, 카페라떼",21,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210417095756860_photo_34e703c5dbe4.jpg
씨스루,이태원,서울특별시 용산구 이태원동 403-3 니은빌딩 1층,"라떼, 카페",26,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200604114356294_photo_f769c663e6ec.jpg
스튜디오 콘크리트,이태원,서울시 용산구 한남동 795-3,"갤러리카페, 스튜, 카페",98,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200503041116_photo1_yWq7n26CqVPd.jpg
사유,이태원,서울특별시 용산구 한남동 682-5,"아메리카노, 쇼콜라, 카페",16,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210214042916_photo1_a8c85fb2a352.jpg
그레트힐란,이태원,서울특별시 용산구 이태원동 229-17,"아메리카노, 카페, 갤러리카페",184,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200501014454711_photo_ROIEHd5UhphT.jpg
